Paint_ID,Paint_Name,Product_Line,Paint_Type,Match_Source,Match_Company,Match_Paint_ID,Match_Paint_Name,Match_Product_Line,Match_Paint_Type,Match_Hex,Match_RGB,Confidence
AP_FANATIC_DOOMFIRE_DRAB,Doomfire Drab,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_DRY_BLOOD,Dry Blood,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_ELDER_FLOWER,Elder Flower,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_ELECTRIC_LIME,Electric Lime,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_EMERALD_FOREST,Emerald Forest,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_ENCHANTED_PINK,Enchanted Pink,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_FLICKERING_FLAME,Flickering Flame,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_FOREST_FAUN,Forest Faun,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_FROST_BLUE,Frost Blue,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_GEMSTONE_RED,Gemstone Red,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_GLITTERING_GREEN,Glittering Green,Fanatic,Metallic,No Match Found,,,,,,,,Review
AP_FANATIC_GLOSS_VARNISH,Gloss Varnish,Fanatic,Auxiliary,No Match Found,,,,,,,,Review
AP_FANATIC_GREAT_HALL_GREY,Great Hall Grey,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_GREY_CASTLE,Grey Castle,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_GUARDIAN_GREEN,Guardian Green,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_IMPERIAL_NAVY,Imperial Navy,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_IMPISH_ROUGE,Impish Rouge,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_JASPER_SKIN,Jasper Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_KRAKEN_LAVENDER,Kraken Lavender,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_LENS_FLARE_GLOW,Lens Flare Glow,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_LEOPARD_STONE_SKIN,Leopard Stone Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_LIGHT_TONE,Light Tone,Fanatic,Wash/Shade,No Match Found,,,,,,,,Review
AP_FANATIC_MAGECAST_MAGENTA,Magecast Magenta,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_MARINE_MIST,Marine Mist,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_MATT_VARNISH,Matt Varnish,Fanatic,Auxiliary,No Match Found,,,,,,,,Review
AP_FANATIC_MEDIEVAL_FOREST,Medieval Forest,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_MOLTEN_LAVA,Molten Lava,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_MOONSTONE_SKIN,Moonstone Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
AP_FANATIC_NEPTUNE_GLOW,Neptune Glow,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_OIL_STAINS,Oil Stains,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_OOZING_VOMIT,Oozing Vomit,Fanatic,Effect,No Match Found,,,,,,,,Review
AP_FANATIC_OPAL_SKIN,Opal Skin,Fanatic,Acrylic,No Match Found,,,,,,,,Review
