Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch
GW_TECHNICAL_NURGLES_ROT,Games Workshop,Citadel,Technical,TECHNICAL,,Nurgles Rot,NURGLES_ROT,#9B8F22,155,143,34,"155, 143, 34",Technical,Discontinued,Comparison Hex Pull,Preserved from uploaded registry; product line normalized during audit. | Duncan Rhodes/Citadel comparison chart direct hex; apostrophe-normalized,#9B8F22
GW_TECHNICAL_STIRLAND_BATTLEMIRE,Games Workshop,Citadel,Technical,TECHNICAL,,Stirland Battlemire,STIRLAND_BATTLEMIRE,#321905,50,25,5,"50, 25, 5",Technical,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing GW registry real product row,Preserved from uploaded registry; product line normalized during audit.,
GW_TEXTURE_AGRELLAN_BADLAND,Games Workshop,Citadel,Texture,TEXTURE,,Agrellan Badland,AGRELLAN_BADLAND,#A17359,161,115,89,"161, 115, 89",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_AGRELLAN_EARTH,Games Workshop,Citadel,Texture,TEXTURE,,Agrellan Earth,AGRELLAN_EARTH,#92816D,146,129,109,"146, 129, 109",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_ARMAGEDDON_DUNES,Games Workshop,Citadel,Texture,TEXTURE,,Armageddon Dunes,ARMAGEDDON_DUNES,#FCAF09,252,175,9,"252, 175, 9",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_ARMAGEDDON_DUST,Games Workshop,Citadel,Texture,TEXTURE,,Armageddon Dust,ARMAGEDDON_DUST,#D3A907,211,169,7,"211, 169, 7",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_ASTROGRANITE,Games Workshop,Citadel,Texture,TEXTURE,,Astrogranite,ASTROGRANITE,#757679,117,118,121,"117, 118, 121",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_ASTROGRANITE_DEBRIS,Games Workshop,Citadel,Texture,TEXTURE,,Astrogranite Debris,ASTROGRANITE_DEBRIS,#77726E,119,114,110,"119, 114, 110",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_BLACKFIRE_EATH,Games Workshop,Citadel,Texture,TEXTURE,,Blackfire Eath,BLACKFIRE_EATH,#A75820,167,88,32,"167, 88, 32",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_LUSTRIAN_UNDERGROWTH,Games Workshop,Citadel,Texture,TEXTURE,,Lustrian Undergrowth,LUSTRIAN_UNDERGROWTH,#415A09,65,90,9,"65, 90, 9",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_MARTIAN_IRONCRUST,Games Workshop,Citadel,Texture,TEXTURE,,Martian Ironcrust,MARTIAN_IRONCRUST,#F5945D,245,148,93,"245, 148, 93",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_MARTIAN_IRONEARTH,Games Workshop,Citadel,Texture,TEXTURE,,Martian Ironearth,MARTIAN_IRONEARTH,#935442,147,84,66,"147, 84, 66",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_MOURN_MOUNTAIN_SNOW,Games Workshop,Citadel,Texture,TEXTURE,,Mourn Mountain Snow,MOURN_MOUNTAIN_SNOW,#E9EAEB,233,234,235,"233, 234, 235",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_STIRLAND_BATTLEMIRE,Games Workshop,Citadel,Texture,TEXTURE,,Stirland Battlemire,STIRLAND_BATTLEMIRE,#321905,50,25,5,"50, 25, 5",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_STIRLAND_MUD,Games Workshop,Citadel,Texture,TEXTURE,,Stirland Mud,STIRLAND_MUD,#492B00,73,43,0,"73, 43, 0",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_TEXTURE_VALHALLAN_BLIZZARD,Games Workshop,Citadel,Texture,TEXTURE,,Valhallan Blizzard,VALHALLAN_BLIZZARD,#FDF9EE,253,249,238,"253, 249, 238",Texture,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Same-name Citadel source (Existing GW registry real product row),Verified historical Citadel paint from uploaded historical list.,
GW_EDGE_BAHARROTH_BLUE,Games Workshop,Citadel,Edge,EDGE,,Baharroth Blue,BAHARROTH_BLUE,#58C1CD,88,193,205,"88, 193, 205",Edge,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_EDGE_BLUE_HORROR,Games Workshop,Citadel,Edge,EDGE,,Blue Horror,BLUE_HORROR,#A2BAD2,162,186,210,"162, 186, 210",Edge,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_EDGE_DECHALA_LILAC,Games Workshop,Citadel,Edge,EDGE,,Dechala Lilac,DECHALA_LILAC,#B69FCC,182,159,204,"182, 159, 204",Edge,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_EDGE_DORN_YELLOW,Games Workshop,Citadel,Edge,EDGE,,Dorn Yellow,DORN_YELLOW,#FFF200,255,242,0,"255, 242, 0",Edge,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
